ZQ464072113491,FGPEPT,2019-01-01T00:00:03.000Z,-106.724293,-25.831867,G8140282065,37,29020,,,,Satellite,
ZQ464072113491,FGPEPT,2019-01-01T00:00:08.000Z,-106.72488,-25.83168,G8140282065,37,28960,,,,Satellite,
RZ321715965702,OIEQNT,2019-01-01T00:00:10.000Z,131.908943,31.14795,J1826969247,32,7600,,,,Coastal AIS,
ZQ464072113491,FGPEPT,2019-01-01T00:00:14.000Z,-106.725467,-25.831493,G8140282065,37,29010,,,,Satellite,
ZQ464072113491,FGPEPT,2019-01-01T00:00:21.000Z,-106.72616,-25.83128,G8140282065,37,28940,,,,Satellite,
ZQ464072113491,FGPEPT,2019-01-01T00:00:27.000Z,-106.726747,-25.831067,G8140282065,37,29060,,,,Satellite,
ZQ464072113491,FGPEPT,2019-01-01T00:00:31.000Z,-106.727227,-25.830907,G8140282065,37,28930,,,,Satellite,
ZQ464072113491,FGPEPT,2019-01-01T00:00:37.000Z,-106.727813,-25.83072,G8140282065,37,29090,,,,Satellite,
ZQ464072113491,FGPEPT,2019-01-01T00:00:44.000Z,-106.728507,-25.830507,G8140282065,37,28930,,,,Satellite,
ZQ464072113491,FGPEPT,2019-01-01T00:00:49.000Z,-106.728987,-25.83032,G8140282065,37,29120,,,,Satellite,
ZQ464072113491,FGPEPT,2019-01-01T00:00:56.000Z,-106.729653,-25.830107,G8140282065,37,28930,,,,Satellite,
ZQ464072113491,FGPEPT,2019-01-01T00:01:01.000Z,-106.730133,-25.82992,G8140282065,37,29090,,,,Satellite,
ZQ464072113491,FGPEPT,2019-01-01T00:01:07.000Z,-106.730827,-25.829707,G8140282065,37,28960,,,,Satellite,
RZ321715965702,OIEQNT,2019-01-01T00:01:10.000Z,131.914225,31.149293,J1826969247,32,7240,,,,Coastal AIS,
ZQ464072113491,FGPEPT,2019-01-01T00:01:13.000Z,-106.731307,-25.829547,G8140282065,37,29030,,,,Satellite,
ZQ464072113491,FGPEPT,2019-01-01T00:01:20.000Z,-106.732,-25.829333,G8140282065,37,29010,,,,Satellite,
ZQ464072113491,FGPEPT,2019-01-01T00:01:26.000Z,-106.732587,-25.82912,G8140282065,37,28980,,,,Satellite,
ZQ464072113491,FGPEPT,2019-01-01T00:01:32.000Z,-106.733067,-25.82896,G8140282065,37,29080,,,,Satellite,
ZQ464072113491,FGPEPT,2019-01-01T00:01:38.000Z,-106.733653,-25.828773,G8140282065,37,28930,,,,Satellite,
UZ994694469634,FGPEPT,2019-01-01T00:01:39.000Z,-127.468163,26.506663,S4626808797,0,-1,,,,Coastal AIS,
