ZQ464072113491,FGPEPT,2019-01-01T00:00:03.000Z,-106.72429299999999,-25.831867000000003,G8140282065,37,29020,0,,,Satellite,
ZQ464072113491,FGPEPT,2019-01-01T00:00:08.000Z,-106.72488,-25.83168,G8140282065,37,28960,0,,,Satellite,
RZ321715965702,OIEQNT,2019-01-01T00:00:10.000Z,131.908943,31.14795,J1826969247,32,7600,1,,,Coastal AIS,
ZQ464072113491,FGPEPT,2019-01-01T00:00:14.000Z,-106.725467,-25.831493,G8140282065,37,29010,0,,,Satellite,
ZQ464072113491,FGPEPT,2019-01-01T00:00:21.000Z,-106.72616000000001,-25.83128,G8140282065,37,28940,0,,,Satellite,
ZQ464072113491,FGPEPT,2019-01-01T00:00:27.000Z,-106.726747,-25.831067,G8140282065,37,29060,0,,,Satellite,
ZQ464072113491,FGPEPT,2019-01-01T00:00:31.000Z,-106.727227,-25.830907,G8140282065,37,28930,0,,,Satellite,
ZQ464072113491,FGPEPT,2019-01-01T00:00:37.000Z,-106.72781299999998,-25.83072,G8140282065,37,29090,0,,,Satellite,
ZQ464072113491,FGPEPT,2019-01-01T00:00:44.000Z,-106.72850700000001,-25.830507,G8140282065,37,28930,0,,,Satellite,
ZQ464072113491,FGPEPT,2019-01-01T00:00:49.000Z,-106.72898700000002,-25.83032,G8140282065,37,29120,0,,,Satellite,
ZQ464072113491,FGPEPT,2019-01-01T00:00:56.000Z,-106.729653,-25.830107,G8140282065,37,28930,0,,,Satellite,
ZQ464072113491,FGPEPT,2019-01-01T00:01:01.000Z,-106.73013300000001,-25.82992,G8140282065,37,29090,0,,,Satellite,
ZQ464072113491,FGPEPT,2019-01-01T00:01:07.000Z,-106.730827,-25.829707,G8140282065,37,28960,0,,,Satellite,
RZ321715965702,OIEQNT,2019-01-01T00:01:10.000Z,131.914225,31.149293,J1826969247,32,7240,1,,,Coastal AIS,
ZQ464072113491,FGPEPT,2019-01-01T00:01:13.000Z,-106.731307,-25.829547,G8140282065,37,29030,0,,,Satellite,
ZQ464072113491,FGPEPT,2019-01-01T00:01:20.000Z,-106.73200000000001,-25.829333,G8140282065,37,29010,0,,,Satellite,
ZQ464072113491,FGPEPT,2019-01-01T00:01:26.000Z,-106.73258700000001,-25.82912,G8140282065,37,28980,0,,,Satellite,
ZQ464072113491,FGPEPT,2019-01-01T00:01:32.000Z,-106.73306699999999,-25.828960000000002,G8140282065,37,29080,0,,,Satellite,
ZQ464072113491,FGPEPT,2019-01-01T00:01:38.000Z,-106.733653,-25.828773,G8140282065,37,28930,0,,,Satellite,
UZ994694469634,FGPEPT,2019-01-01T00:01:39.000Z,-127.46816299999999,26.506663,S4626808797,0,-1,2,,,Coastal AIS,
LX197978822803,JCMFTA,2019-01-01T00:01:43.000Z,3.424328,6.318798,C7376020082,6,33750,3,2018-12-31T16:00:00.000Z,under way using engine,Satellite,
KF747095155025,JCMFTA,2019-01-01T00:01:43.000Z,3.424328,6.318798,C7376020082,6,33750,4,2018-12-31T16:00:00.000Z,under way using engine,Satellite,
HM302385710947,OYSCFP,2019-01-01T00:01:44.000Z,1.410158,50.771878,F4676005751,27,2030,5,2019-01-01T00:00:00.000Z,under way using engine,Coastal AIS,
ZQ464072113491,FGPEPT,2019-01-01T00:01:44.000Z,-106.734347,-25.82856,G8140282065,37,29030,0,,,Satellite,
JD229315786876,FGPEPT,2019-01-01T00:01:47.000Z,-51.111215,-0.06855,Z8972740913,0,30000,6,2019-12-31T03:00:00.000Z,at anchor,Coastal AIS,
PS898668113330,FGPEPT,2019-01-01T00:01:47.000Z,-51.111215,-0.06855,Z8972740913,0,30000,7,2019-12-31T03:00:00.000Z,at anchor,Coastal AIS,
QL924466678429,FGPEPT,2019-01-01T00:01:47.000Z,-51.111215,-0.06855,Z8972740913,0,30000,8,2019-12-31T03:00:00.000Z,at anchor,Coastal AIS,
MY550886115039,FGPEPT,2019-01-01T00:01:47.000Z,-51.111215,-0.06855,Z8972740913,0,30000,9,2019-12-31T03:00:00.000Z,at anchor,Coastal AIS,
NB109540761906,FGPEPT,2019-01-01T00:01:47.000Z,-51.111215,-0.06855,Z8972740913,0,30000,10,2019-12-31T03:00:00.000Z,at anchor,Coastal AIS,
HR883261393869,FGPEPT,2019-01-01T00:01:47.000Z,-51.111215,-0.06855,Z8972740913,0,30000,11,2019-12-31T03:00:00.000Z,at anchor,Coastal AIS,
OB453877733519,RWHZVZ,2019-01-01T00:01:48.000Z,121.58063200000001,31.374775,K5352492455,0,31020,12,2019-01-02T10:00:00.000Z,moored,Coastal AIS,
WD921157660502,RWHZVZ,2019-01-01T00:01:48.000Z,121.58063200000001,31.374775,K5352492455,0,31020,13,2019-01-02T10:00:00.000Z,moored,Coastal AIS,
ZQ464072113491,FGPEPT,2019-01-01T00:01:49.000Z,-106.734827,-25.8284,G8140282065,37,29020,0,,,Satellite,
ZQ464072113491,FGPEPT,2019-01-01T00:01:56.000Z,-106.73552,-25.82816,G8140282065,37,28960,0,,,Satellite,
KQ615773456001,FGPEPT,2019-01-01T00:02:00.000Z,120.32546699999999,22.547143,R6552613899,0,14140,14,2019-12-31T06:30:00.000Z,moored,Coastal AIS,
OX545437200450,FGPEPT,2019-01-01T00:02:00.000Z,120.32546699999999,22.547143,R6552613899,0,14140,15,2019-12-31T06:30:00.000Z,moored,Coastal AIS,
RZ321715965702,OIEQNT,2019-01-01T00:02:04.000Z,131.919023,31.150615000000002,J1826969247,32,7230,1,,,Coastal AIS,
ZQ464072113491,FGPEPT,2019-01-01T00:02:08.000Z,-106.73669299999999,-25.827787,G8140282065,37,28950,0,,,Satellite,
BF915936158789,JCMFTA,2019-01-01T00:02:09.000Z,32.561977,29.811053,I2280052824,0,17400,16,2019-12-31T13:00:00.000Z,at anchor,Coastal AIS,
FY193324196058,JCMFTA,2019-01-01T00:02:09.000Z,32.561977,29.811053,I2280052824,0,17400,17,2019-12-31T13:00:00.000Z,at anchor,Coastal AIS,
PD285955891031,JCMFTA,2019-01-01T00:02:09.000Z,32.561977,29.811053,I2280052824,0,17400,18,2019-12-31T13:00:00.000Z,at anchor,Coastal AIS,
LE926214272046,JCMFTA,2019-01-01T00:02:09.000Z,32.561977,29.811053,I2280052824,0,17400,19,2019-12-31T13:00:00.000Z,at anchor,Coastal AIS,
JQ471511852683,RWHZVZ,2019-01-01T00:02:14.000Z,-123.36565,48.346567,R2189260156,0,1500,20,2019-01-02T03:00:00.000Z,at anchor,Coastal AIS,
VC502294268231,RWHZVZ,2019-01-01T00:02:14.000Z,-123.36565,48.346567,R2189260156,0,1500,21,2019-01-02T03:00:00.000Z,at anchor,Coastal AIS,
ZQ464072113491,FGPEPT,2019-01-01T00:02:14.000Z,-106.737173,-25.827627,G8140282065,37,29010,0,,,Satellite,
ZQ464072113491,FGPEPT,2019-01-01T00:02:20.000Z,-106.737867,-25.827413,G8140282065,37,29010,0,,,Satellite,
ZQ464072113491,FGPEPT,2019-01-01T00:02:26.000Z,-106.738427,-25.8272,G8140282065,37,28990,0,,,Satellite,
DC246820574688,RWHZVZ,2019-01-01T00:02:38.000Z,113.88666699999999,22.41095,H9663809278,15,16900,22,2019-01-05T07:00:00.000Z,moored,Coastal AIS,
ZQ464072113491,FGPEPT,2019-01-01T00:02:39.000Z,-106.7396,-25.826826999999998,G8140282065,37,29020,0,,,Satellite,
ZQ464072113491,FGPEPT,2019-01-01T00:02:45.000Z,-106.740187,-25.826613000000002,G8140282065,37,29080,0,,,Satellite,
